ANIMAL,GROUP,LACTATION DAY,ALL PUPS GATHERED,ALL PUPS NESTED,PUPS PARTIALLY GATHERED,PUP RETRIEVAL,PUP INTERACTION,MATERNAL CROUCHING,NEST BUILDING,SOLO TIME,TIME WITH PUPS,PUPS GROUPED,INITIATED PUP RETRIEVAL (s),COMPLETED PUP RETRIEVAL (s),NEST SCORE,Litter Weight (g),Litter Count,Average Pup Weight (g),Litter Weight Gain,SURGERY ID,BLINDED ANIMAL ID,TOTAL CELLS COUNTED PER LHB,AVERAGE CELLS PER SECTION,TOTAL MEASURED LHB VOLUME (UM^3),"TOTAL MEASURED LHB VOLUME (100,000 UM^3)",AVERAGE VOLUME PER SECTION (UM^3),"AVERAGE VOLUME PER SECTION (100,000 UM^3)","CELLS PER 100,000 UM^3","CELLS PER 100,000 UM^3 NORMALIZED BY SECTION NUMBER",NUMBER OF SECTIONS COUNTED,HIPPOCAMPUS,MH,PVT,CL,TOTAL,ANT MB
C3F8,CONTROL,LD4,19,13,1,2,6,4,15,14,7,20,21,689,4,22.2,10,2.22,NA,210713B,ANIMAL S,10160,1016,103170000,1031.7,10317000,103.17,9.848,0.985,10,2,2.3,2,1.9,8.2,3
C4F1,DREADD,LD4,4,0,9,5,12,2,16,15,9,13,28,1329,4,14.6,7,2.09,NA,210813A,ANIMAL P,5121,569,107010000,1070.1,11890000,118.9,4.786,0.532,9,2.1,0.2,1.6,0.5,4.5,3
C4F2,CONTROL,LD4,17,4,3,1,10,1,22,16,14,20,610,714,3,12.9,5,2.58,NA,210817A,ANIMAL L,8960,896,135550000,1355.5,13555000,135.55,6.61,0.661,10,2.9,1.6,1.7,1.9,8.2,NA
C4F3,CONTROL,LD4,20,20,1,3,4,1,15,19,5,21,344,668,3,16.1,7,2.3,NA,210817B,ANIMAL F,5754,575.4,101490000,1014.9,10149000,101.49,5.67,0.567,10,2.4,2.2,2.5,2.5,9.5,NA
C4F4,DREADD,LD4,6,0,14,1,17,4,3,19,13,20,636,1250,0,18.5,8,2.31,NA,210816A,ANIMAL G,3546,394,99490000,994.9,11054444,110.544,3.564,0.396,9,2.1,0,1.4,1,4.5,3
C4F7,CONTROL,LD4,24,21,7,1,6,16,14,4,19,31,18,69,4,16.3,8,2.04,NA,210819A,ANIMAL J,4637,515.22,86020000,860.2,9557778,95.578,5.391,0.599,9,2.8,0.9,0.5,1.5,5.7,3
C4F8,DREADD,LD4,0,0,0,0,11,0,1,29,0,0,1800,1800,0,14.4,7,2.06,NA,210816B,ANIMAL W,2054,228.22,99390000,993.9,11043333,110.433,2.067,0.23,9,2,0.1,0.3,0,2.4,2
C5F1,CONTROL,LD4,19,2,3,1,11,0,12,22,3,22,145,644,2,21.9,10,2.19,NA,210818B,ANIMAL H,6279,697.67,108050000,1080.5,12005556,120.056,5.811,0.646,9,1.9,0.4,1.1,1.7,5.1,3
C5F2,DREADD,LD4,12,12,11,0,5,0,22,13,15,23,890,902,4,4.8,3,1.6,NA,210929B,ANIMAL M,3759,417.67,108510000,1085.1,12056667,120.567,3.464,0.385,9,2.3,0,1.2,0.8,4.3,3
C5F3,DREADD,LD4,0,0,0,1,18,0,9,27,0,0,526,1800,1,18.4,9,2.04,NA,210930A,ANIMAL Q,3272,297.45,144760000,1447.6,13160000,131.6,2.26,0.205,11,2.5,0.3,0.7,1.3,4.8,3
C5F5,DREADD,LD4,17,13,8,1,9,2,22,12,17,25,627,631,4,19.7,8,2.46,NA,210923B,ANIMAL A,1223,122.3,94745000,947.45,9474500,94.745,1.291,0.129,10,2.4,0.6,0.5,0.5,4,1
C6F1,DREADD,LD4,13,9,4,2,11,0,10,22,11,17,143,1093,4,21,11,1.91,NA,210923A,ANIMAL E,2258,250.89,104971000,1049.71,11663444,116.634,2.151,0.239,9,1.7,0.2,0.2,0.7,2.7,2
C6F2,CONTROL,LD4,17,8,3,4,13,0,17,20,5,20,488,744,3,18.5,8,2.31,NA,210915A,ANIMAL C,4250,472.22,89280000,892.8,9920000,99.2,4.76,0.529,9,2.3,1.6,0.9,1.7,6.5,3
C6F3,CONTROL,LD4,13,12,10,1,10,1,19,15,14,23,63,718,4,13.4,5,2.68,NA,210819B,ANIMAL K,3717,413,81210000,812.1,9023333,90.233,4.577,0.509,9,2.9,0.3,0.7,0.7,4.6,3
C6F4,CONTROL,LD4,19,18,3,1,8,10,13,11,18,22,9,648,3,13.5,6,2.25,NA,210929A,ANIMAL V,332,41.5,41800000,418,5225000,52.25,0.794,0.099,8,0.7,0,0,0,0.7,0
